MPS4000 Validation Report
S/N:,251
Date,2015/01/01
Time,04:55:44
Channels,64
Pressures,15
Temperatures,3
Error Limit,0.06
 ,Temp,Full Scale,Target,Source,MPS,,Percent
Chan,Deg C,Pressure,Pressure,Pressure,Pressure,Delta,Error
6,16.44,1.000,0.285714,0.285667,0.285745,0.000077,0.008,pass
6,16.31,1.000,0.428571,0.428620,0.428647,0.000026,0.003,pass
6,16.38,1.000,0.571429,0.571409,0.571443,0.000034,0.003,pass
6,16.44,1.000,0.714286,0.714302,0.714205,-0.000097,-0.010,pass
6,16.41,1.000,0.857143,0.857110,0.857149,0.000039,0.004,pass
6,16.34,1.000,1.000000,0.999998,1.000096,0.000098,0.010,pass
6,16.41,1.000,-0.142857,-0.142903,-0.142970,-0.000066,-0.007,pass
6,16.41,1.000,-0.285714,-0.285719,-0.285842,-0.000123,-0.012,pass
6,16.44,1.000,-0.428571,-0.428603,-0.428717,-0.000113,-0.011,pass
6,16.47,1.000,-0.571429,-0.571410,-0.571534,-0.000123,-0.012,pass
6,16.38,1.000,-0.714286,-0.714308,-0.714428,-0.000120,-0.012,pass
6,16.34,1.000,-0.857143,-0.857100,-0.857137,-0.000037,-0.004,pass
6,16.41,1.000,-1.000000,-1.000009,-1.000201,-0.000192,-0.019,pass
7,16.38,1.000,0.000000,0.000005,0.000004,-0.000000,-0.000,pass
7,16.41,1.000,0.142857,0.142918,0.142929,0.000012,0.001,pass
7,16.44,1.000,0.285714,0.285667,0.285761,0.000093,0.009,pass
7,16.31,1.000,0.428571,0.428620,0.428665,0.000044,0.004,pass
7,16.38,1.000,0.571429,0.571409,0.571477,0.000068,0.007,pass
7,16.44,1.000,0.714286,0.714302,0.714193,-0.000109,-0.011,pass
7,16.41,1.000,0.857143,0.857110,0.857177,0.000067,0.007,pass
7,16.34,1.000,1.000000,0.999998,1.000103,0.000105,0.011,pass
7,16.41,1.000,-0.142857,-0.142903,-0.142958,-0.000054,-0.005,pass
7,16.41,1.000,-0.285714,-0.285719,-0.285777,-0.000058,-0.006,pass
7,16.44,1.000,-0.428571,-0.428603,-0.428693,-0.000089,-0.009,pass
7,16.47,1.000,-0.571429,-0.571410,-0.571504,-0.000094,-0.009,pass
7,16.38,1.000,-0.714286,-0.714308,-0.714419,-0.000112,-0.011,pass
7,16.34,1.000,-0.857143,-0.857100,-0.857185,-0.000084,-0.008,pass
7,16.41,1.000,-1.000000,-1.000009,-1.000204,-0.000195,-0.020,pass
8,16.38,1.000,0.000000,0.000005,0.000003,-0.000002,-0.000,pass
8,16.41,1.000,0.142857,0.142918,0.142888,-0.000029,-0.003,pass
8,16.44,1.000,0.285714,0.285667,0.285829,0.000162,0.016,pass
8,16.31,1.000,0.428571,0.428620,0.428757,0.000137,0.014,pass
8,16.38,1.000,0.571429,0.571409,0.571475,0.000065,0.007,pass
8,16.44,1.000,0.714286,0.714302,0.714302,0.000000,0.000,pass
8,16.41,1.000,0.857143,0.857110,0.857198,0.000088,0.009,pass
8,16.34,1.000,1.000000,0.999998,1.000102,0.000104,0.010,pass
8,16.41,1.000,-0.142857,-0.142903,-0.142872,0.000031,0.003,pass
8,16.41,1.000,-0.285714,-0.285719,-0.285729,-0.000011,-0.001,pass
8,16.44,1.000,-0.428571,-0.428603,-0.428624,-0.000021,-0.002,pass
