MPS4000 Validation Report
S/N:,251
Date,2015/01/01
Time,04:55:44
Channels,64
Pressures,15
Temperatures,3
Error Limit,0.06
 ,Temp,Full Scale,Target,Source,MPS,,Percent
Chan,Deg C,Pressure,Pressure,Pressure,Pressure,Delta,Error
49,16.38,1.000,0.428571,0.428620,0.428727,0.000107,0.011,pass
49,16.38,1.000,0.571429,0.571409,0.571455,0.000046,0.005,pass
49,16.50,1.000,0.714286,0.714302,0.714414,0.000112,0.011,pass
49,16.44,1.000,0.857143,0.857110,0.857157,0.000047,0.005,pass
49,16.38,1.000,1.000000,0.999998,1.000195,0.000197,0.020,pass
49,16.50,1.000,-0.142857,-0.142903,-0.142777,0.000126,0.013,pass
49,16.44,1.000,-0.285714,-0.285719,-0.285641,0.000077,0.008,pass
49,16.44,1.000,-0.428571,-0.428603,-0.428530,0.000074,0.007,pass
49,16.50,1.000,-0.571429,-0.571410,-0.571397,0.000013,0.001,pass
49,16.50,1.000,-0.714286,-0.714308,-0.714255,0.000053,0.005,pass
49,16.44,1.000,-0.857143,-0.857100,-0.857237,-0.000136,-0.014,pass
49,16.50,1.000,-1.000000,-1.000009,-0.999876,0.000133,0.013,pass
50,16.44,1.000,0.000000,0.000005,-0.000024,-0.000029,-0.003,pass
50,16.50,1.000,0.142857,0.142918,0.142970,0.000052,0.005,pass
50,16.44,1.000,0.285714,0.285667,0.285805,0.000138,0.014,pass
50,16.38,1.000,0.428571,0.428620,0.428768,0.000148,0.015,pass
50,16.38,1.000,0.571429,0.571409,0.571515,0.000106,0.011,pass
50,16.50,1.000,0.714286,0.714302,0.714427,0.000125,0.013,pass
50,16.44,1.000,0.857143,0.857110,0.857176,0.000066,0.007,pass
50,16.38,1.000,1.000000,0.999998,1.000219,0.000221,0.022,pass
50,16.50,1.000,-0.142857,-0.142903,-0.142825,0.000078,0.008,pass
50,16.44,1.000,-0.285714,-0.285719,-0.285667,0.000052,0.005,pass
50,16.44,1.000,-0.428571,-0.428603,-0.428507,0.000097,0.010,pass
50,16.50,1.000,-0.571429,-0.571410,-0.571407,0.000003,0.000,pass
50,16.50,1.000,-0.714286,-0.714308,-0.714303,0.000004,0.000,pass
50,16.44,1.000,-0.857143,-0.857100,-0.857225,-0.000124,-0.012,pass
50,16.50,1.000,-1.000000,-1.000009,-0.999968,0.000042,0.004,pass
51,16.44,1.000,0.000000,0.000005,0.000089,0.000084,0.008,pass
51,16.50,1.000,0.142857,0.142918,0.143042,0.000125,0.012,pass
51,16.44,1.000,0.285714,0.285667,0.285948,0.000280,0.028,pass
51,16.38,1.000,0.428571,0.428620,0.428860,0.000239,0.024,pass
51,16.38,1.000,0.571429,0.571409,0.571620,0.000211,0.021,pass
51,16.50,1.000,0.714286,0.714302,0.714509,0.000207,0.021,pass
51,16.44,1.000,0.857143,0.857110,0.857108,-0.000002,-0.000,pass
51,16.38,1.000,1.000000,0.999998,1.000162,0.000164,0.016,pass
51,16.50,1.000,-0.142857,-0.142903,-0.142768,0.000136,0.014,pass
51,16.44,1.000,-0.285714,-0.285719,-0.285691,0.000028,0.003,pass
51,16.44,1.000,-0.428571,-0.428603,-0.428551,0.000053,0.005,pass
51,16.50,1.000,-0.571429,-0.571410,-0.571475,-0.000065,-0.007,pass
51,16.50,1.000,-0.714286,-0.714308,-0.714270,0.000038,0.004,pass
51,16.44,1.000,-0.857143,-0.857100,-0.857236,-0.000135,-0.014,pass
51,16.50,1.000,-1.000000,-1.000009,-0.999878,0.000132,0.013,pass
52,16.44,1.000,0.000000,0.000005,0.000072,0.000068,0.007,pass
52,16.50,1.000,0.142857,0.142918,0.142997,0.000079,0.008,pass
52,16.44,1.000,0.285714,0.285667,0.285904,0.000236,0.024,pass
52,16.38,1.000,0.428571,0.428620,0.428817,0.000197,0.020,pass
52,16.38,1.000,0.571429,0.571409,0.571556,0.000147,0.015,pass
52,16.50,1.000,0.714286,0.714302,0.714506,0.000204,0.020,pass
52,16.44,1.000,0.857143,0.857110,0.857267,0.000157,0.016,pass
52,16.38,1.000,1.000000,0.999998,1.000242,0.000243,0.024,pass
52,16.50,1.000,-0.142857,-0.142903,-0.142769,0.000134,0.013,pass
52,16.44,1.000,-0.285714,-0.285719,-0.285649,0.000070,0.007,pass
52,16.44,1.000,-0.428571,-0.428603,-0.428583,0.000020,0.002,pass
52,16.50,1.000,-0.571429,-0.571410,-0.571537,-0.000127,-0.013,pass
52,16.50,1.000,-0.714286,-0.714308,-0.714292,0.000016,0.002,pass
52,16.44,1.000,-0.857143,-0.857100,-0.857260,-0.000159,-0.016,pass
52,16.50,1.000,-1.000000,-1.000009,-0.999864,0.000145,0.015,pass
53,16.59,1.000,0.000000,0.000005,-0.000016,-0.000021,-0.002,pass
53,16.66,1.000,0.142857,0.142918,0.142940,0.000022,0.002,pass
53,16.59,1.000,0.285714,0.285667,0.285656,-0.000011,-0.001,pass
53,16.56,1.000,0.428571,0.428620,0.428560,-0.000060,-0.006,pass
53,16.56,1.000,0.571429,0.571409,0.571370,-0.000039,-0.004,pass
53,16.63,1.000,0.714286,0.714302,0.714242,-0.000060,-0.006,pass
53,16.63,1.000,0.857143,0.857110,0.857088,-0.000022,-0.002,pass
53,16.56,1.000,1.000000,0.999998,1.000015,0.000016,0.002,pass
53,16.66,1.000,-0.142857,-0.142903,-0.142915,-0.000012,-0.001,pass
53,16.59,1.000,-0.285714,-0.285719,-0.285748,-0.000029,-0.003,pass
53,16.63,1.000,-0.428571,-0.428603,-0.428617,-0.000014,-0.001,pass
53,16.66,1.000,-0.571429,-0.571410,-0.571438,-0.000028,-0.003,pass
53,16.63,1.000,-0.714286,-0.714308,-0.714349,-0.000041,-0.004,pass
53,16.59,1.000,-0.857143,-0.857100,-0.857150,-0.000049,-0.005,pass
53,16.63,1.000,-1.000000,-1.000009,-1.000004,0.000006,0.001,pass
54,16.59,1.000,0.000000,0.000005,0.000026,0.000021,0.002,pass
54,16.66,1.000,0.142857,0.142918,0.142882,-0.000035,-0.004,pass
54,16.59,1.000,0.285714,0.285667,0.285790,0.000123,0.012,pass
54,16.56,1.000,0.428571,0.428620,0.428716,0.000096,0.010,pass
54,16.56,1.000,0.571429,0.571409,0.571420,0.000011,0.001,pass
54,16.63,1.000,0.714286,0.714302,0.714346,0.000044,0.004,pass
54,16.63,1.000,0.857143,0.857110,0.857112,0.000002,0.000,pass
54,16.56,1.000,1.000000,0.999998,1.000029,0.000031,0.003,pass
54,16.66,1.000,-0.142857,-0.142903,-0.142860,0.000044,0.004,pass
54,16.59,1.000,-0.285714,-0.285719,-0.285788,-0.000069,-0.007,pass
54,16.63,1.000,-0.428571,-0.428603,-0.428582,0.000021,0.002,pass
54,16.66,1.000,-0.571429,-0.571410,-0.571547,-0.000137,-0.014,pass
54,16.63,1.000,-0.714286,-0.714308,-0.714395,-0.000087,-0.009,pass
54,16.59,1.000,-0.857143,-0.857100,-0.857250,-0.000149,-0.015,pass
54,16.63,1.000,-1.000000,-1.000009,-1.000011,-0.000002,-0.000,pass
55,16.59,1.000,0.000000,0.000005,-0.000004,-0.000009,-0.001,pass
55,16.66,1.000,0.142857,0.142918,0.142941,0.000023,0.002,pass
55,16.59,1.000,0.285714,0.285667,0.285811,0.000144,0.014,pass
55,16.56,1.000,0.428571,0.428620,0.428715,0.000094,0.009,pass
55,16.56,1.000,0.571429,0.571409,0.571542,0.000133,0.013,pass
55,16.63,1.000,0.714286,0.714302,0.714312,0.000010,0.001,pass
55,16.63,1.000,0.857143,0.857110,0.857152,0.000042,0.004,pass
55,16.56,1.000,1.000000,0.999998,1.000101,0.000103,0.010,pass
55,16.66,1.000,-0.142857,-0.142903,-0.142864,0.000039,0.004,pass
55,16.59,1.000,-0.285714,-0.285719,-0.285698,0.000021,0.002,pass
55,16.63,1.000,-0.428571,-0.428603,-0.428579,0.000024,0.002,pass
55,16.66,1.000,-0.571429,-0.571410,-0.571435,-0.000025,-0.003,pass
55,16.63,1.000,-0.714286,-0.714308,-0.714364,-0.000057,-0.006,pass
55,16.59,1.000,-0.857143,-0.857100,-0.857187,-0.000086,-0.009,pass
55,16.63,1.000,-1.000000,-1.000009,-1.000060,-0.000050,-0.005,pass
56,16.59,1.000,0.000000,0.000005,0.000036,0.000031,0.003,pass
56,16.66,1.000,0.142857,0.142918,0.142958,0.000041,0.004,pass
56,16.59,1.000,0.285714,0.285667,0.285919,0.000251,0.025,pass
56,16.56,1.000,0.428571,0.428620,0.428731,0.000111,0.011,pass
56,16.56,1.000,0.571429,0.571409,0.571458,0.000049,0.005,pass
56,16.63,1.000,0.714286,0.714302,0.714363,0.000061,0.006,pass
56,16.63,1.000,0.857143,0.857110,0.857097,-0.000013,-0.001,pass
56,16.56,1.000,1.000000,0.999998,1.000148,0.000149,0.015,pass
56,16.66,1.000,-0.142857,-0.142903,-0.142799,0.000105,0.010,pass
56,16.59,1.000,-0.285714,-0.285719,-0.285728,-0.000009,-0.001,pass
56,16.63,1.000,-0.428571,-0.428603,-0.428585,0.000018,0.002,pass
56,16.66,1.000,-0.571429,-0.571410,-0.571518,-0.000108,-0.011,pass
56,16.63,1.000,-0.714286,-0.714308,-0.714364,-0.000057,-0.006,pass
56,16.59,1.000,-0.857143,-0.857100,-0.857274,-0.000174,-0.017,pass
56,16.63,1.000,-1.000000,-1.000009,-1.000055,-0.000046,-0.005,pass
57,16.59,1.000,0.000000,0.000005,0.000013,0.000008,0.001,pass
57,16.66,1.000,0.142857,0.142918,0.142926,0.000008,0.001,pass
57,16.59,1.000,0.285714,0.285667,0.285734,0.000066,0.007,pass
57,16.56,1.000,0.428571,0.428620,0.428633,0.000012,0.001,pass
57,16.56,1.000,0.571429,0.571409,0.571424,0.000014,0.001,pass
57,16.63,1.000,0.714286,0.714302,0.714314,0.000012,0.001,pass
57,16.63,1.000,0.857143,0.857110,0.857174,0.000064,0.006,pass
57,16.56,1.000,1.000000,0.999998,1.000098,0.000100,0.010,pass
57,16.66,1.000,-0.142857,-0.142903,-0.142899,0.000004,0.000,pass
57,16.59,1.000,-0.285714,-0.285719,-0.285706,0.000013,0.001,pass
57,16.63,1.000,-0.428571,-0.428603,-0.428603,0.000001,0.000,pass
57,16.66,1.000,-0.571429,-0.571410,-0.571459,-0.000049,-0.005,pass
57,16.63,1.000,-0.714286,-0.714308,-0.714305,0.000002,0.000,pass
57,16.59,1.000,-0.857143,-0.857100,-0.857142,-0.000041,-0.004,pass
57,16.63,1.000,-1.000000,-1.000009,-0.999920,0.000089,0.009,pass
58,16.59,1.000,0.000000,0.000005,-0.000001,-0.000006,-0.001,pass
58,16.66,1.000,0.142857,0.142918,0.142951,0.000033,0.003,pass
58,16.59,1.000,0.285714,0.285667,0.285750,0.000083,0.008,pass
58,16.56,1.000,0.428571,0.428620,0.428689,0.000069,0.007,pass
58,16.56,1.000,0.571429,0.571409,0.571484,0.000075,0.007,pass
58,16.63,1.000,0.714286,0.714302,0.714263,-0.000039,-0.004,pass
58,16.63,1.000,0.857143,0.857110,0.857052,-0.000058,-0.006,pass
58,16.56,1.000,1.000000,0.999998,1.000000,0.000002,0.000,pass
58,16.66,1.000,-0.142857,-0.142903,-0.142815,0.000088,0.009,pass
58,16.59,1.000,-0.285714,-0.285719,-0.285673,0.000046,0.005,pass
58,16.63,1.000,-0.428571,-0.428603,-0.428571,0.000033,0.003,pass
58,16.66,1.000,-0.571429,-0.571410,-0.571483,-0.000073,-0.007,pass
58,16.63,1.000,-0.714286,-0.714308,-0.714393,-0.000085,-0.009,pass
58,16.59,1.000,-0.857143,-0.857100,-0.857212,-0.000112,-0.011,pass
58,16.63,1.000,-1.000000,-1.000009,-1.000039,-0.000030,-0.003,pass
59,16.59,1.000,0.000000,0.000005,-0.000003,-0.000008,-0.001,pass
59,16.66,1.000,0.142857,0.142918,0.142999,0.000081,0.008,pass
59,16.59,1.000,0.285714,0.285667,0.285820,0.000152,0.015,pass
59,16.56,1.000,0.428571,0.428620,0.428709,0.000089,0.009,pass
59,16.56,1.000,0.571429,0.571409,0.571519,0.000110,0.011,pass
59,16.63,1.000,0.714286,0.714302,0.714314,0.000012,0.001,pass
59,16.63,1.000,0.857143,0.857110,0.857162,0.000052,0.005,pass
59,16.56,1.000,1.000000,0.999998,1.000148,0.000150,0.015,pass
59,16.66,1.000,-0.142857,-0.142903,-0.142907,-0.000004,-0.000,pass
59,16.59,1.000,-0.285714,-0.285719,-0.285813,-0.000095,-0.009,pass
59,16.63,1.000,-0.428571,-0.428603,-0.428666,-0.000062,-0.006,pass
59,16.66,1.000,-0.571429,-0.571410,-0.571458,-0.000048,-0.005,pass
59,16.63,1.000,-0.714286,-0.714308,-0.714394,-0.000086,-0.009,pass
59,16.59,1.000,-0.857143,-0.857100,-0.857174,-0.000073,-0.007,pass
59,16.63,1.000,-1.000000,-1.000009,-1.000065,-0.000056,-0.006,pass
60,16.59,1.000,0.000000,0.000005,0.000009,0.000004,0.000,pass
60,16.66,1.000,0.142857,0.142918,0.142900,-0.000018,-0.002,pass
60,16.59,1.000,0.285714,0.285667,0.285855,0.000187,0.019,pass
60,16.56,1.000,0.428571,0.428620,0.428770,0.000149,0.015,pass
60,16.56,1.000,0.571429,0.571409,0.571470,0.000061,0.006,pass
60,16.63,1.000,0.714286,0.714302,0.714338,0.000036,0.004,pass
60,16.63,1.000,0.857143,0.857110,0.857161,0.000051,0.005,pass
60,16.56,1.000,1.000000,0.999998,1.000116,0.000118,0.012,pass
60,16.66,1.000,-0.142857,-0.142903,-0.142884,0.000020,0.002,pass
60,16.59,1.000,-0.285714,-0.285719,-0.285784,-0.000065,-0.006,pass
60,16.63,1.000,-0.428571,-0.428603,-0.428644,-0.000041,-0.004,pass
60,16.66,1.000,-0.571429,-0.571410,-0.571568,-0.000158,-0.016,pass
60,16.63,1.000,-0.714286,-0.714308,-0.714431,-0.000123,-0.012,pass
60,16.59,1.000,-0.857143,-0.857100,-0.857270,-0.000169,-0.017,pass
60,16.63,1.000,-1.000000,-1.000009,-1.000072,-0.000063,-0.006,pass
61,16.75,1.000,0.000000,0.000005,0.000002,-0.000003,-0.000,pass
61,16.81,1.000,0.142857,0.142918,0.142994,0.000076,0.008,pass
61,16.75,1.000,0.285714,0.285667,0.285829,0.000161,0.016,pass
61,16.75,1.000,0.428571,0.428620,0.428744,0.000124,0.012,pass
61,16.75,1.000,0.571429,0.571409,0.571546,0.000136,0.014,pass
61,16.75,1.000,0.714286,0.714302,0.714380,0.000078,0.008,pass
61,16.81,1.000,0.857143,0.857110,0.857293,0.000183,0.018,pass
61,16.75,1.000,1.000000,0.999998,1.000250,0.000252,0.025,pass
61,16.81,1.000,-0.142857,-0.142903,-0.142900,0.000003,0.000,pass
61,16.75,1.000,-0.285714,-0.285719,-0.285739,-0.000020,-0.002,pass
61,16.81,1.000,-0.428571,-0.428603,-0.428617,-0.000014,-0.001,pass
61,16.81,1.000,-0.571429,-0.571410,-0.571474,-0.000064,-0.006,pass
61,16.75,1.000,-0.714286,-0.714308,-0.714364,-0.000056,-0.006,pass
61,16.75,1.000,-0.857143,-0.857100,-0.857092,0.000008,0.001,pass
61,16.75,1.000,-1.000000,-1.000009,-1.000086,-0.000077,-0.008,pass
62,16.75,1.000,0.000000,0.000005,-0.000057,-0.000062,-0.006,pass
62,16.81,1.000,0.142857,0.142918,0.142873,-0.000045,-0.005,pass
62,16.75,1.000,0.285714,0.285667,0.285813,0.000146,0.015,pass
62,16.75,1.000,0.428571,0.428620,0.428800,0.000180,0.018,pass
62,16.75,1.000,0.571429,0.571409,0.571643,0.000234,0.023,pass
62,16.75,1.000,0.714286,0.714302,0.714495,0.000193,0.019,pass
62,16.81,1.000,0.857143,0.857110,0.857276,0.000166,0.017,pass
62,16.75,1.000,1.000000,0.999998,1.000057,0.000059,0.006,pass
62,16.81,1.000,-0.142857,-0.142903,-0.142799,0.000104,0.010,pass
62,16.75,1.000,-0.285714,-0.285719,-0.285708,0.000011,0.001,pass
62,16.81,1.000,-0.428571,-0.428603,-0.428577,0.000026,0.003,pass
62,16.81,1.000,-0.571429,-0.571410,-0.571454,-0.000044,-0.004,pass
62,16.75,1.000,-0.714286,-0.714308,-0.714395,-0.000087,-0.009,pass
62,16.75,1.000,-0.857143,-0.857100,-0.857060,0.000041,0.004,pass
62,16.75,1.000,-1.000000,-1.000009,-1.000058,-0.000048,-0.005,pass
63,16.75,1.000,0.000000,0.000005,0.000034,0.000029,0.003,pass
63,16.81,1.000,0.142857,0.142918,0.143032,0.000114,0.011,pass
63,16.75,1.000,0.285714,0.285667,0.285801,0.000134,0.013,pass
63,16.75,1.000,0.428571,0.428620,0.428717,0.000096,0.010,pass
63,16.75,1.000,0.571429,0.571409,0.571536,0.000126,0.013,pass
63,16.75,1.000,0.714286,0.714302,0.714298,-0.000004,-0.000,pass
63,16.81,1.000,0.857143,0.857110,0.857185,0.000075,0.008,pass
63,16.75,1.000,1.000000,0.999998,1.000121,0.000123,0.012,pass
63,16.81,1.000,-0.142857,-0.142903,-0.142826,0.000077,0.008,pass
63,16.75,1.000,-0.285714,-0.285719,-0.285740,-0.000021,-0.002,pass
63,16.81,1.000,-0.428571,-0.428603,-0.428610,-0.000006,-0.001,pass
63,16.81,1.000,-0.571429,-0.571410,-0.571487,-0.000076,-0.008,pass
63,16.75,1.000,-0.714286,-0.714308,-0.714444,-0.000136,-0.014,pass
63,16.75,1.000,-0.857143,-0.857100,-0.857096,0.000004,0.000,pass
63,16.75,1.000,-1.000000,-1.000009,-1.000121,-0.000111,-0.011,pass
64,16.75,1.000,0.000000,0.000005,-0.000003,-0.000008,-0.001,pass
64,16.81,1.000,0.142857,0.142918,0.142921,0.000003,0.000,pass
64,16.75,1.000,0.285714,0.285667,0.285746,0.000079,0.008,pass
64,16.75,1.000,0.428571,0.428620,0.428714,0.000094,0.009,pass
64,16.75,1.000,0.571429,0.571409,0.571468,0.000059,0.006,pass
64,16.75,1.000,0.714286,0.714302,0.714265,-0.000037,-0.004,pass
64,16.81,1.000,0.857143,0.857110,0.857170,0.000060,0.006,pass
64,16.75,1.000,1.000000,0.999998,1.000097,0.000099,0.010,pass
64,16.81,1.000,-0.142857,-0.142903,-0.142942,-0.000039,-0.004,pass
64,16.75,1.000,-0.285714,-0.285719,-0.285842,-0.000123,-0.012,pass
64,16.81,1.000,-0.428571,-0.428603,-0.428684,-0.000080,-0.008,pass
64,16.81,1.000,-0.571429,-0.571410,-0.571553,-0.000143,-0.014,pass
64,16.75,1.000,-0.714286,-0.714308,-0.714479,-0.000171,-0.017,pass
64,16.75,1.000,-0.857143,-0.857100,-0.857134,-0.000034,-0.003,pass
64,16.75,1.000,-1.000000,-1.000009,-1.000102,-0.000092,-0.009,pass
1,40.69,1.000,0.000000,-0.000018,0.000007,0.000025,0.002,pass
1,40.75,1.000,0.142857,0.142903,0.142961,0.000057,0.006,pass
1,40.75,1.000,0.285714,0.285693,0.285780,0.000087,0.009,pass
1,40.69,1.000,0.428571,0.428617,0.428666,0.000049,0.005,pass
1,40.75,1.000,0.571429,0.571404,0.571464,0.000059,0.006,pass
1,40.75,1.000,0.714286,0.714311,0.714307,-0.000003,-0.000,pass
1,40.75,1.000,0.857143,0.857109,0.857149,0.000040,0.004,pass
1,40.75,1.000,1.000000,0.999999,1.000061,0.000061,0.006,pass
1,40.75,1.000,-0.142857,-0.142919,-0.142944,-0.000025,-0.003,pass
1,40.81,1.000,-0.285714,-0.285711,-0.285749,-0.000037,-0.004,pass
1,40.81,1.000,-0.428571,-0.428618,-0.428634,-0.000015,-0.002,pass
1,40.75,1.000,-0.571429,-0.571401,-0.571431,-0.000030,-0.003,pass
1,40.75,1.000,-0.714286,-0.714303,-0.714380,-0.000077,-0.008,pass
1,40.81,1.000,-0.857143,-0.857112,-0.857167,-0.000055,-0.006,pass
1,40.81,1.000,-1.000000,-1.000009,-1.000144,-0.000134,-0.013,pass
2,40.69,1.000,0.000000,-0.000018,0.000029,0.000047,0.005,pass
2,40.75,1.000,0.142857,0.142903,0.142979,0.000075,0.008,pass
2,40.75,1.000,0.285714,0.285693,0.285843,0.000150,0.015,pass
2,40.69,1.000,0.428571,0.428617,0.428643,0.000025,0.003,pass
2,40.75,1.000,0.571429,0.571404,0.571525,0.000121,0.012,pass
2,40.75,1.000,0.714286,0.714311,0.714360,0.000049,0.005,pass
2,40.75,1.000,0.857143,0.857109,0.857238,0.000129,0.013,pass
2,40.75,1.000,1.000000,0.999999,1.000167,0.000168,0.017,pass
2,40.75,1.000,-0.142857,-0.142919,-0.142882,0.000036,0.004,pass
2,40.81,1.000,-0.285714,-0.285711,-0.285707,0.000004,0.000,pass
2,40.81,1.000,-0.428571,-0.428618,-0.428599,0.000019,0.002,pass
2,40.75,1.000,-0.571429,-0.571401,-0.571396,0.000005,0.001,pass
2,40.75,1.000,-0.714286,-0.714303,-0.714333,-0.000030,-0.003,pass
2,40.81,1.000,-0.857143,-0.857112,-0.857120,-0.000008,-0.001,pass
2,40.81,1.000,-1.000000,-1.000009,-1.000112,-0.000102,-0.010,pass
3,40.69,1.000,0.000000,-0.000018,-0.000031,-0.000013,-0.001,pass
3,40.75,1.000,0.142857,0.142903,0.142884,-0.000019,-0.002,pass
3,40.75,1.000,0.285714,0.285693,0.285722,0.000028,0.003,pass
3,40.69,1.000,0.428571,0.428617,0.428543,-0.000075,-0.007,pass
3,40.75,1.000,0.571429,0.571404,0.571451,0.000046,0.005,pass
3,40.75,1.000,0.714286,0.714311,0.714243,-0.000067,-0.007,pass
3,40.75,1.000,0.857143,0.857109,0.857110,0.000001,0.000,pass
3,40.75,1.000,1.000000,0.999999,1.000111,0.000112,0.011,pass
3,40.75,1.000,-0.142857,-0.142919,-0.142917,0.000002,0.000,pass
3,40.81,1.000,-0.285714,-0.285711,-0.285752,-0.000040,-0.004,pass
3,40.81,1.000,-0.428571,-0.428618,-0.428615,0.000003,0.000,pass
3,40.75,1.000,-0.571429,-0.571401,-0.571467,-0.000066,-0.007,pass
3,40.75,1.000,-0.714286,-0.714303,-0.714343,-0.000040,-0.004,pass
3,40.81,1.000,-0.857143,-0.857112,-0.857165,-0.000053,-0.005,pass
3,40.81,1.000,-1.000000,-1.000009,-1.000120,-0.000110,-0.011,pass
4,40.69,1.000,0.000000,-0.000018,0.000004,0.000022,0.002,pass
4,40.75,1.000,0.142857,0.142903,0.142951,0.000048,0.005,pass
4,40.75,1.000,0.285714,0.285693,0.285743,0.000050,0.005,pass
4,40.69,1.000,0.428571,0.428617,0.428623,0.000005,0.001,pass
4,40.75,1.000,0.571429,0.571404,0.571441,0.000036,0.004,pass
4,40.75,1.000,0.714286,0.714311,0.714255,-0.000055,-0.006,pass
4,40.75,1.000,0.857143,0.857109,0.857116,0.000007,0.001,pass
4,40.75,1.000,1.000000,0.999999,1.000063,0.000063,0.006,pass
4,40.75,1.000,-0.142857,-0.142919,-0.142954,-0.000035,-0.004,pass
4,40.81,1.000,-0.285714,-0.285711,-0.285792,-0.000081,-0.008,pass
4,40.81,1.000,-0.428571,-0.428618,-0.428650,-0.000032,-0.003,pass
4,40.75,1.000,-0.571429,-0.571401,-0.571453,-0.000052,-0.005,pass
4,40.75,1.000,-0.714286,-0.714303,-0.714398,-0.000095,-0.010,pass
4,40.81,1.000,-0.857143,-0.857112,-0.857165,-0.000053,-0.005,pass
4,40.81,1.000,-1.000000,-1.000009,-1.000203,-0.000193,-0.019,pass
5,40.50,1.000,0.000000,-0.000018,0.000040,0.000058,0.006,pass
5,40.53,1.000,0.142857,0.142903,0.143011,0.000108,0.011,pass
5,40.53,1.000,0.285714,0.285693,0.285902,0.000209,0.021,pass
5,40.50,1.000,0.428571,0.428617,0.428785,0.000167,0.017,pass
5,40.53,1.000,0.571429,0.571404,0.571557,0.000152,0.015,pass
5,40.53,1.000,0.714286,0.714311,0.714455,0.000144,0.014,pass
5,40.56,1.000,0.857143,0.857109,0.857302,0.000193,0.019,pass
5,40.56,1.000,1.000000,0.999999,1.000237,0.000238,0.024,pass
5,40.56,1.000,-0.142857,-0.142919,-0.142762,0.000156,0.016,pass
5,40.59,1.000,-0.285714,-0.285711,-0.285607,0.000104,0.010,pass
5,40.63,1.000,-0.428571,-0.428618,-0.428493,0.000125,0.013,pass
5,40.59,1.000,-0.571429,-0.571401,-0.571275,0.000126,0.013,pass
5,40.56,1.000,-0.714286,-0.714303,-0.714239,0.000064,0.006,pass
5,40.59,1.000,-0.857143,-0.857112,-0.856998,0.000114,0.011,pass
5,40.59,1.000,-1.000000,-1.000009,-1.000020,-0.000010,-0.001,pass
6,40.50,1.000,0.000000,-0.000018,0.000005,0.000024,0.002,pass
6,40.53,1.000,0.142857,0.142903,0.142948,0.000044,0.004,pass
6,40.53,1.000,0.285714,0.285693,0.285762,0.000069,0.007,pass
6,40.50,1.000,0.428571,0.428617,0.428593,-0.000025,-0.002,pass
6,40.53,1.000,0.571429,0.571404,0.571438,0.000034,0.003,pass
6,40.53,1.000,0.714286,0.714311,0.714348,0.000037,0.004,pass
6,40.56,1.000,0.857143,0.857109,0.857170,0.000060,0.006,pass
6,40.56,1.000,1.000000,0.999999,1.000084,0.000085,0.009,pass
6,40.56,1.000,-0.142857,-0.142919,-0.142859,0.000059,0.006,pass
6,40.59,1.000,-0.285714,-0.285711,-0.285653,0.000059,0.006,pass
6,40.63,1.000,-0.428571,-0.428618,-0.428566,0.000052,0.005,pass
6,40.59,1.000,-0.571429,-0.571401,-0.571357,0.000043,0.004,pass
6,40.56,1.000,-0.714286,-0.714303,-0.714235,0.000068,0.007,pass
6,40.59,1.000,-0.857143,-0.857112,-0.857078,0.000034,0.003,pass
6,40.59,1.000,-1.000000,-1.000009,-1.000025,-0.000015,-0.002,pass
7,40.50,1.000,0.000000,-0.000018,-0.000008,0.000010,0.001,pass
7,40.53,1.000,0.142857,0.142903,0.142948,0.000045,0.005,pass
7,40.53,1.000,0.285714,0.285693,0.285764,0.000070,0.007,pass
7,40.50,1.000,0.428571,0.428617,0.428582,-0.000036,-0.004,pass
7,40.53,1.000,0.571429,0.571404,0.571427,0.000023,0.002,pass
7,40.53,1.000,0.714286,0.714311,0.714299,-0.000012,-0.001,pass
7,40.56,1.000,0.857143,0.857109,0.857162,0.000053,0.005,pass
7,40.56,1.000,1.000000,0.999999,1.000123,0.000124,0.012,pass
7,40.56,1.000,-0.142857,-0.142919,-0.142912,0.000007,0.001,pass
7,40.59,1.000,-0.285714,-0.285711,-0.285746,-0.000035,-0.004,pass
7,40.63,1.000,-0.428571,-0.428618,-0.428595,0.000024,0.002,pass
7,40.59,1.000,-0.571429,-0.571401,-0.571387,0.000013,0.001,pass
7,40.56,1.000,-0.714286,-0.714303,-0.714274,0.000029,0.003,pass
7,40.59,1.000,-0.857143,-0.857112,-0.857025,0.000086,0.009,pass
7,40.59,1.000,-1.000000,-1.000009,-1.000033,-0.000023,-0.002,pass
8,40.50,1.000,0.000000,-0.000018,-0.000004,0.000014,0.001,pass
8,40.53,1.000,0.142857,0.142903,0.142950,0.000046,0.005,pass
8,40.53,1.000,0.285714,0.285693,0.285757,0.000064,0.006,pass
8,40.50,1.000,0.428571,0.428617,0.428647,0.000029,0.003,pass
8,40.53,1.000,0.571429,0.571404,0.571470,0.000066,0.007,pass
8,40.53,1.000,0.714286,0.714311,0.714378,0.000068,0.007,pass
8,40.56,1.000,0.857143,0.857109,0.857174,0.000065,0.006,pass
8,40.56,1.000,1.000000,0.999999,1.000122,0.000123,0.012,pass
8,40.56,1.000,-0.142857,-0.142919,-0.142909,0.000009,0.001,pass
8,40.59,1.000,-0.285714,-0.285711,-0.285710,0.000002,0.000,pass
8,40.63,1.000,-0.428571,-0.428618,-0.428608,0.000010,0.001,pass
8,40.59,1.000,-0.571429,-0.571401,-0.571415,-0.000015,-0.001,pass
